00_glossary.msbt
01_msg_with_voice.msbt
mng_cmn_go	GO!
kp_shop__productname_03	Challenge Road
kp_shop__productname_04	Toad's Rec Room
kp_shop__productname_05	Minigames
kp_shop__productname_06	Sound Stage
kp_shop__productname_10	Toad Sticker
kp_shop__productname_11	Toadette Sticker
kp_shop__productname_12	Kamek Sticker
kp_shop__productname_19	King Bob-omb Sticker
kp_shop__productname_24	Spike Sticker
kp_shop__productname_25	Pokey Sticker
kp_shop__productname_26	Peepa Sticker
kp_shop__productname_27	Fuzzy Sticker
kp_shop__productname_29	Galoomba Sticker
kp_shop__productname_30	Sumo Bro Sticker
kp_shop__productname_116	Chargin' Chuck Sticker
kp_shop__productname_117	Wario Sticker
kp_shop__productname_118	Waluigi Sticker
kp_shop__productname_119	Shy Guy Sticker
kp_shop__productname_120	Monty Mole Sticker
kp_shop__productname_121	Speech Bubble Sticker
kp_shop__productname_122	Bad Luck Space Sticker
kp_shop__productname_123	VS Space Sticker
kp_shop__productname_124	Dueling Glove Sticker
kp_shop__productname_125	Ally Phone Sticker
kp_shop__productname_126	Dice Steak Sticker
kp_shop__productname_127	Block Sticker
kp_shop__productname_128	Yoshi Sticker
kp_shop__productname_129	Rosalina Sticker
kp_shop__productname_130	Boo Sticker
kp_shop__productname_131	Hammer Bro Sticker
kp_shop__productname_132	Huckit Crab Sticker
kp_shop__productname_133	Question Mark Sticker
kp_shop__productname_134	Exclamation Point Sticker
kp_shop__productname_135	Lucky Space Sticker
kp_shop__productname_136	Item Space Sticker
kp_shop__productname_137	? Block Sticker
kp_shop__productname_138	Poison Mushroom Sticker
kp_shop__productname_139	Soccer Ball Sticker
kp_shop__productname_140	Diddy Kong Sticker
kp_shop__productname_141	Donkey Kong Sticker
kp_shop__productname_142	Dry Bones Sticker
kp_shop__productname_143	Pom Pom Sticker
kp_shop__productname_144	Broozer Sticker
kp_shop__productname_145	Walleye Sticker
kp_shop__productname_146	Porcupuffer Sticker
kp_shop__productname_147	Grrrol Sticker
kp_shop__productname_148	Sweat Sticker
kp_shop__productname_149	Anger Sticker
kp_shop__productname_150	Heart Sticker
kp_shop__productname_151	Event Space Sticker
kp_shop__productname_152	Golden Drink Sticker
kp_shop__productname_153	Treasure Key Sticker
kp_shop__productname_64	Board 1
kp_shop__productname_65	Board 2
kp_shop__productname_66	Board 3
kp_shop__productname_67	Board 4
kp_shop__productname_68	Board 5
kp_shop__productname_69	Board 6
kp_shop__productname_70	Board 7
kp_shop__productname_71	Board 8
kp_shop__productname_74	Shiny Mario Sticker
kp_shop__productname_75	Shiny Luigi Sticker
kp_shop__productname_76	Shiny Peach Sticker
kp_shop__productname_77	Shiny Daisy Sticker
kp_shop__productname_78	Shiny Wario Sticker
kp_shop__productname_79	Shiny Waluigi Sticker
kp_shop__productname_80	Shiny Yoshi Sticker
kp_shop__productname_81	Shiny Diddy Kong Sticker
kp_shop__productname_82	Shiny Rosalina Sticker
kp_shop__productname_83	Shiny Donkey Kong Sticker
kp_shop__productname_84	Shiny Bowser Sticker
kp_shop__productname_85	Shiny Goomba Sticker
kp_shop__productname_86	Shiny Shy Guy Sticker
kp_shop__productname_87	Shiny Koopa Troopa Sticker
kp_shop__productname_88	Shiny Monty Mole Sticker
kp_shop__productname_89	Shiny Dry Bones Sticker
kp_shop__productname_90	Shiny Bowser Jr. Sticker
kp_shop__productname_91	Shiny Boo Sticker
kp_shop__productname_92	Shiny Hammer Bro Sticker
kp_shop__productname_93	Shiny Pom Pom Sticker
kp_shop__productname_95	Navigating the Board (Mario Party)
kp_shop__productname_96	Using Items
kp_shop__productname_97	Surefire Mario Party Strategies
kp_shop__productname_98	Navigating the Board (Partner Party)
kp_shop__productname_99	Using Items as a Team
kp_shop__productname_100	Surefire Partner Party Strategies
kp_shop__productname_102	Expedition Guide
kp_shop__productname_104	Staying on Beat
kp_shop__productname_105	Walking Challenge Road
kp_shop__productname_106	Miscellaneous Games
kp_shop__productname_109	Earning the Worldwide Top Rank
kp_shop__productname_110	Playing Around
kp_shop__productname_114	Special Collectibles
kp_shop__productname_115	Recommended Partner Party Teams
kp_shop_info_00	Background music playlists you can listen to in Music.
kp_shop_info_02	Character stickers you can play with.
kp_shop_info_03	You can apply stickers to these boards.
kp_shop_info_04	Special stickers that sparkle.
kp_shop_info_05	Mario Party Advice
kp_shop_info_05_1	Partner Party Advice
kp_shop_info_05_2	River Survival Advice
kp_shop_info_05_3	Sound Stage Advice
kp_shop_info_05_4	Challenge Road Advice
kp_shop_info_05_5	Minigames Advice
kp_shop_info_05_6	Online Mariothon Advice
kp_shop_info_05_7	Toad's Rec Room Advice
kp_shop_info_05_8	Stickers Advice
kp_shop_info_06	You can get Party Points five times per day!\r\nSome amiibo will also grant stickers.
kp_music_like_00	Register your favorites with .
kp_music_playlist_01	Favorites
kp_playlist_00	Party Plaza
kp_playlist_01	Mario Party
kp_playlist_02	River Survival
kp_playlist_03	Challenge Road
kp_playlist_04	Toad's Rec Room
kp_playlist_05	Minigames
kp_playlist_06	Sound Stage
kp_playlist_like_info_00	A music playlist made up of your registered favorites.
kp_playlist_info_00	Party Plaza Playlist
kp_playlist_info_01	Mario Party Playlist
kp_playlist_info_02	River Survival Playlist
kp_playlist_info_03	Challenge Road Playlist
kp_playlist_info_04	Toad's Rec Room Playlist
kp_playlist_info_05	Minigame Playlist
kp_playlist_info_06	Sound Stage Playlist
kp_music_like_count_00	[0]/10
kp_music_track_00_00	Introduction
kp_music_track_00_01	The Adventure Is On
kp_music_track_00_02	Super Mario Party
kp_music_track_00_03	Daytime Decision
kp_music_track_00_04	Evening Decision
kp_music_track_00_05	Nighttime Decision
kp_music_track_00_06	The Game Continues!
kp_music_track_00_07	Stickers Galore
kp_music_track_00_08	An Abundance of Minigames
kp_music_track_00_09	Online Match
kp_music_track_00_10	Gem Acquired!
kp_music_track_00_11	A Grand Adventure
kp_music_track_00_12	Credits
kp_music_track_01_00	Whomp's Domino Ruins Entrance
kp_music_track_01_01	King Bob-omb's Powderkeg Mine Entrance
kp_music_track_01_02	Megafruit Paradise Entrance
kp_music_track_01_03	Kamek's Tantalizing Tower Entrance
kp_music_track_01_04	Start the Party!
kp_music_track_01_05	Whomp's Domino Ruins 1
kp_music_track_01_06	Whomp's Domino Ruins 2
kp_music_track_01_07	King Bob-omb's Powderkeg Mine 1
kp_music_track_01_08	King Bob-omb's Powderkeg Mine 2
kp_music_track_01_09	Megafruit Paradise 1
kp_music_track_01_10	Megafruit Paradise 2
kp_music_track_01_11	Kamek's Tantalizing Tower 1
kp_music_track_01_12	Kamek's Tantalizing Tower 2
kp_music_track_01_13	Homestretch!
kp_music_track_01_14	Kamek Arrives
kp_music_track_01_15	Minigame Battle
kp_music_track_01_16	Minigame Results
kp_music_track_01_17	Let's Rumble!
kp_music_track_01_18	Spotlight on the Star
kp_music_track_01_19	Duel for the Prize
kp_music_track_01_20	Boulder Escape
kp_music_track_01_21	King Bob-omb's Wrath
kp_music_track_01_22	Blooper Surprise
kp_music_track_01_23	Kamek the Merciless
kp_music_track_01_24	Award Ceremony
kp_music_track_01_25	Party's Over!
kp_music_track_02_00	River Survival Start!
kp_music_track_02_01	Adventure Awaits
kp_music_track_02_02	Long Way Off
kp_music_track_02_03	The River Flows On
kp_music_track_02_04	Covering Distance
kp_music_track_02_05	Goal in Sight
kp_music_track_02_06	Branch Decision
kp_music_track_02_07	We Made It!
kp_music_track_02_08	Better Luck Next Time
kp_music_track_03_00	The Challenges Ahead
kp_music_track_03_02	Shell Street
kp_music_track_03_03	Chestnut Forest
kp_music_track_03_04	Mushroom Beach
kp_music_track_03_05	Ghostly Hollow
kp_music_track_03_06	Salty Sea
kp_music_track_03_07	Challenge Road's End
kp_music_track_03_08	Failure into Success
kp_music_track_03_09	Challenge Road Goal
kp_music_track_03_10	Challenge Road Complete!
kp_music_track_04_00	Minigame Fight!
kp_music_track_04_02	Panel Trap
kp_music_track_04_04	Mini League Baseball Start!
kp_music_track_04_05	Puzzle Hustle Start!
kp_music_track_04_06	Puzzle Hustle
kp_music_track_04_07	Shell Shocked Deluxe Start!
kp_music_track_04_08	Shell Shocked Deluxe
kp_music_track_04_09	Banana, Split Start!
kp_music_track_04_10	Banana, Split
kp_music_track_05_00	Ready?
kp_music_track_05_01	Joining Forces
kp_music_track_05_02	Keep Moving Forward
kp_music_track_05_03	Aim Carefully
kp_music_track_05_04	Pleasantly Happy
kp_music_track_05_05	Calm Down!
kp_music_track_05_06	Off the Chain
kp_music_track_05_07	The Wind and Waves
kp_music_track_05_08	Breathing in Harmony
kp_music_track_05_09	Keepin' It Frosty
kp_music_track_05_10	Hup Hup Hup!
kp_music_track_05_11	Serious Showdown
kp_music_track_05_12	Fancy Pop
kp_music_track_05_13	Run Away!
kp_music_track_05_14	Think Carefully
kp_music_track_05_15	Proceed with Caution
kp_music_track_05_16	Iced Out
kp_music_track_05_17	Around and Around
kp_music_track_05_18	Over in a Flash
kp_music_track_05_19	Maximum Heat
kp_music_track_05_20	No Hurry
kp_music_track_05_21	Don't Panic
kp_music_track_05_22	What Now?
kp_music_track_05_23	Wet and Wild
kp_music_track_05_24	Realm of Mystery
kp_music_track_05_25	Looking for Love
kp_music_track_05_26	Rattle and Hmmm
kp_music_track_05_27	Don't Wake Wiggler!
kp_music_track_05_28	You Woke Wiggler!
kp_music_track_05_29	Building Excitement
kp_music_track_05_30	Who Will Seize Tomorrow?
kp_music_track_05_31	Wham-Bam Hullabaloo
kp_music_track_05_32	Believe in Yourself
kp_music_track_05_33	Good Cheer
kp_music_track_05_34	Nimble Maneuvers
kp_music_track_05_35	Use Your Head
kp_music_track_05_36	Friends and Fate
kp_music_track_05_37	Swing for the Fences!
kp_music_track_05_38	Smooth Sailing
kp_music_track_05_39	Lost in the Shuffle
kp_music_track_05_40	Collect Coins
kp_music_track_05_41	Play Again?
kp_music_track_06_00	Before the Show
kp_music_track_06_01	Feel the Beat
kp_music_track_06_02	Clearing the Table
kp_music_track_06_03	Strike It Rich
kp_music_track_06_04	Take a Stab
kp_music_track_06_05	Pep Rally
kp_music_track_06_06	Time to Shine
kp_music_track_06_07	Rhythm and Bruise
kp_music_track_06_08	All-Star Swingers
kp_music_track_06_09	Wiped Out
kp_music_track_06_10	Baton and On
kp_music_track_06_11	Fiddler on the Hoof
kp_jewel_00	Gem of Tenacity
kp_jewel_01	Gem of Spirit
kp_jewel_02	Gem of Courage
kp_jewel_03	Gem of Love
kp_jewel_04	Gem of Passion
kp_jewel_05	Gem of ???
kp_jewel_06	Gem of ???
kinopad_jewel_info_00	A gem that is only awarded\r\nto those who persevere\r\nin the face of adversity.
kinopad_jewel_info_01	A gem that is only awarded to those\r\nwho can let go of inhibition and allow\r\ntheir innermost spirits to shine.
kinopad_jewel_info_02	A gem that is only awarded to those\r\nwith the courage to face tumult\r\nand uncertainty to the end.
kinopad_jewel_info_03	A gem that is only awarded to those\r\nselfless enough to put their own\r\ndesires aside for the good of friends.
kinopad_jewel_info_04	A gem that is only awarded\r\nto those with an unshakable\r\npassion for minigames.
kinopad_jewel_lock_01	 Watch Award Ceremony
kinopad_popup_t_00	Update
kinopad_popup_t_01	Notices
kinopad_popup_00	Features Added\r\n-Party Point section now available\r\nin the Party Pad. Check it out!
kinopad_popup_01	-Stickers are now available for Party Points!
kinopad_popup_02	Features Added\r\n-Listen to music from your Party Pad!\r\n\r\n-Music playlists now available for Party Points!
kinopad_popup_03	-Sticker boards and sticker set two\r\nnow available for Party Points!
kinopad_popup_04	-New playlists now available for Party Points!
kinopad_popup_05	-Sticker set three and new shiny stickers\r\nnow available for Party Points. There are\r\nalso new music playlists available!
kinopad_popup_06	You can now use the Party Pad!\r\nIt has all kinds of useful features,\r\nespecially a map for shortcuts!\r\n\r\nYou can return to Party Plaza\r\nby closing the Party Pad.
main_menu.msbt
menu_title001	Press  + 
menu_cselect007	 Choose Again
menu_cselect008	Random
menu_cselect009	OK!
menu_cselect010	[n0]
menu_cselect011	[0]
menu_cselect012	?
menu_cselect100	Change Character
menu_cselect101	Change Difficulty
menu_cselect102	 Back
menu_cselect103	 Back
menu_cselect104	[0]
menu_cselect105	OK!
menu_cselect106	COM
menu_cselect107	[0]
menu_config002	You can play with one .
menu_config004	Follow the steps to attach a Joy-Con\r\nstrap, and hold the controller firmly\r\nin your hand without letting go.
menu_config005	Who will be playing?
menu_config006	Nintendo Switch systems
menu_config007	[0]
menu_config008	Players
menu_config009_001	1 Player
menu_config009_002	2 Players
menu_config009_003	3 Players
menu_config009_004	4 Players
menu_config010	OK!
menu_config023	 Choose
menu_config024	 Confirm
menu_config011	One to four players can play!
menu_config013	This will use local communication.
menu_config014_001	Two to four players can play!
menu_config015	Local Communication
menu_config016	You can create a room and\r\nwait for players or join a\r\nroom someone else creates!
menu_config017	Create a Room
menu_config018	Join a Room
menu_config038	Create a Room
menu_config039	Join a Room
menu_config040	Nintendo Switch systems
menu_config042	[0]
menu_config041	Players
menu_config043	-
menu_config044	2
menu_config045	3
menu_config046	4
menu_config019	Set a password?
menu_config020	Set a Password
menu_config021	No Password
menu_config022	 Back
menu_config047	Password
menu_config048	Enter a 3-digit number and share it with your friends!
menu_config049	Enter the 3-digit number!
menu_config050	OK!
menu_config027	[n0]
menu_config029	Password
menu_config030	[0]
menu_config031	[n0]
menu_config032	Waiting for other players...
menu_config033	OK!
menu_config035	Please wait until other players join.
menu_config036	Please wait until the game begins.
menu_booth00_001	[0]
menu_booth00_002	A board game played with dice. The player\r\nwho finishes with the most  Stars wins!
menu_booth00_003	A team edition of Mario Party featuring\r\nfree movement and shared dice rolls.
menu_booth00_005	Choose which branches of the river to tackle,\r\nand work together to make it to the end!
menu_booth00_006	Nail every beat, and show the crowd\r\nwho's the ultimate performer!
menu_booth00_007	Take a journey down this path of\r\n80 challenges, one after another.
menu_booth00_008	A mode focused purely on enjoying minigames.
menu_booth00_009	Check out Toad's hodgepodge\r\nof toys and diversions.
menu_booth00_010	Challenge an opponent to a short minigame-off.\r\nThey don't even have to be in the same room!
menu_booth00_100	 Back
menu_booth00_101	Start
menu_booth00_200	Choose a side of the raft and play!
menu_booth00_201	Crank the volume, stand up, and play!
menu_booth00_202	OK?
menu_booth00_205	Make sure you don't bump into\r\nanyone or anything around you.
menu_booth00_207	 Sort
menu_booth00_204	Place it where everyone can see!
menu_booth00_209	The orientation\r\nof  is\r\nimportant!
menu_booth00_208	Use touch controls!
menu_booth00_250	VS
menu_booth00_252	Battle
menu_booth00_253	Co-op
menu_booth00_254	Team Battle
menu_booth01_002	Turn [0]/[1]
menu_booth01_003	Continue Playing
menu_booth01_004	Start Over
menu_booth01_005	You can pick up where you left off in your last session.
menu_booth01_030	Delete progress data and start over?
menu_booth01_031	No
menu_booth01_032	Yes
menu_booth01_006	[0]
menu_booth01_026	?
menu_booth01_007	Can you make it through the\r\nperilous Domino Ruins paths?
menu_booth01_008	King Bob-omb's court is a high-risk,\r\nhigh-reward place to be.
menu_booth01_009	These four little tropical islands feature\r\npipes you can use to warp between them.
menu_booth01_010	The cost of  Stars changes?!\r\nIt's a fierce fight for coins!
menu_booth01_021	Talk over how to move the\r\nWhomps before taking action.
menu_booth01_022	Use the mine-cart Bob-omb\r\nto your advantage.
menu_booth01_023	One trick is to split up\r\nacross different islands.
menu_booth01_024	A gleaming board where anything goes!\r\nYour teamwork will be put to the test!
menu_booth01_011	10 Turns
menu_booth01_012	15 Turns
menu_booth01_013	20 Turns
menu_booth01_027	30 Turns
menu_booth01_015	About 60 min.
menu_booth01_016	About 90 min.
menu_booth01_017	About 120 min.
menu_booth01_028	About 180 min.
menu_booth01_018	10 Turns
menu_booth01_019	15 Turns
menu_booth01_020	20 Turns
menu_booth01_029	30 Turns
menu_booth01_100	[0]/[1]/[2]
menu_booth01_101	COM
menu_booth01_102	[0]
menu_booth01_103	VS
menu_booth02_001	Normal Course
menu_booth02_002	Hard Course
menu_booth02_003	Normal Course
menu_booth02_004	Hard Course
menu_booth02_005	Normal Oar
menu_booth02_006	Gold Oar
menu_booth02_007	Normal Oar
menu_booth02_008	Gold Oar
menu_booth02_009	Give me the normal rafting challenges!
menu_booth02_010	Give me white-knuckle rafting challenges!
menu_booth02_011	A regular, sturdy oar.
menu_booth02_012	An oar that can row the swiftest rapids!
menu_booth07_001	Minigame Records
menu_booth07_002	[mg0]
menu_booth07_003	[0]
menu_booth07_004	[0].[1][2]m
menu_booth07_005	[0].[1][2]
menu_booth07_006	
menu_booth07_007	[0]
menu_booth07_008	[0]
menu_booth07_009	View Records
menu_booth07_014	Minigame Records
menu_booth07_010	Your favorite minigames and nothing else!
menu_booth07_011	Capture territory by winning minigames.\r\nYou must win the battles as well as the war!
menu_booth07_012	Compete for score in a series of five minigames.\r\nIt's not over until the end, so don't lose focus!
menu_booth07_013	View minigame records, including\r\nMariothon rankings.
menu_booth08_001	[0]
menu_booth08_002	[0]
menu_booth08_003	Face off on the diamond and hit a homer!
menu_booth08_004	Assemble the Mario sprites!
menu_booth08_005	Whoever destroys the most rival tanks wins!
menu_booth08_006	Align your Nintendo Switch systems to\r\nfigure out which bananas go together!
menu_booth08_010	1 vs. 1
menu_booth08_011	1 vs. 1
menu_booth08_014	2 vs. 2
menu_booth08_015	2 vs. 2
menu_booth08_012	vs.
menu_booth08_013	vs.
menu_booth08_016	2 vs. 2
menu_booth08_017	Free-for-All
menu_booth08_018	2 vs. 2
menu_booth08_019	Free-for-All
menu_booth08_042	 Secret Styles
menu_booth08_043	Set down
menu_booth08_044	On a stand
menu_booth08_045	With two systems
menu_booth08_046	On TV
menu_booth08_047	Bird's eye view
menu_booth08_048	Laid back
menu_booth08_049	Pitcher and batter views
menu_booth08_050	Big-screen impact
menu_booth08_051	Gather around for fun
menu_booth08_052	Side-by-side fun
menu_booth08_053	Warp back and forth
menu_booth08_054	Easy to see on a big screen
menu_booth08_055	Gather around for fun
menu_booth08_056	Nowhere to hide
menu_booth08_057	Connected maps for\r\nunlimited fun
menu_booth08_058	Big-screen impact
menu_booth08_059	Find the banana connection
menu_booth08_060	With two systems
menu_booth11_001	Worldwide Match
menu_booth11_002	Friend Match
menu_booth11_003	View Records
menu_booth11_004	Worldwide Match
menu_booth11_005	Friend Match
menu_booth11_006	Create a Coliseum
menu_booth11_007	Enter a Coliseum
menu_booth11_008	Set Password
menu_booth11_009	No Password
menu_booth11_013	Create a Coliseum
menu_booth11_014	Password: [0]
menu_booth11_015	No Password
menu_booth11_016	Toad Cup in progress!
menu_booth11_017	Toadette Cup in progress!
menu_booth11_018	Kamek Cup in progress!
menu_booth11_019	？
menu_booth11_010	Compete for a high score through five minigames.\r\nChallenge players from around the globe!
menu_booth11_011	Face off against far-off friends in five minigames.\r\nYou can select from a custom list of favorites!
menu_booth11_012	View Rankings and Records.
menu_booth11_030	[n0]
menu_booth11_031	[0]
menu_booth11_032	?
menu_booth11_033	S+
menu_booth11_034	S
menu_booth11_035	S-
menu_booth11_036	A+
menu_booth11_037	A
menu_booth11_038	A-
menu_booth11_039	B+
menu_booth11_040	B
menu_booth11_041	B-
menu_booth11_042	C+
menu_booth11_043	C
menu_booth11_044	C-
menu_booth11_045	D+
menu_booth11_046	D
menu_booth11_047	D-
menu_booth11_048	E+
menu_booth11_049	E
menu_booth11_055	E-
menu_booth11_020	Searching for open Coliseums...
menu_booth11_056	The event schedule has been updated.
menu_booth11_057	Worldwide Match
menu_booth11_058	Toad Cup
menu_booth11_059	Toadette Cup
menu_booth11_060	Kamek Cup
menu_booth11_021	Waiting for rivals...
menu_booth11_022	[n0]
menu_booth11_027	Searching...
menu_booth11_028	Preparing Coliseum...
menu_booth11_061	S+
menu_booth11_062	S
menu_booth11_063	S-
menu_booth11_064	A+
menu_booth11_065	A
menu_booth11_066	A-
menu_booth11_067	B+
menu_booth11_068	B
menu_booth11_069	B-
menu_booth11_070	C+
menu_booth11_071	C
menu_booth11_072	C-
menu_booth11_073	D+
menu_booth11_074	D
menu_booth11_075	D-
menu_booth11_076	E+
menu_booth11_077	E
menu_booth11_078	E-
menu_booth11_079	?
menu_booth11_083	[0]
menu_booth11_084	Connecting to network...
menu_booth11_085	Friend Match
menu_booth11_050	[0]
menu_booth11_086	/ Voice Chat
menu_booth11_087	[n0]
menu_booth11_052	 Use These Partygoers
menu_booth11_053	 Back
menu_booth12_001	Mariothon
menu_booth12_016	Online Mariothon
menu_booth12_002	Rankings
menu_booth12_005	[0]
menu_booth12_032	{c[ffdc0f]}[0]{c[ffffff]}
menu_booth12_026	Play this cup to see how you rank!
menu_booth12_027	 Score Details
menu_booth12_029	 Back
menu_booth12_031	 Change Ranking Info
menu_booth12_008	[0]
menu_booth12_010	[n0]
menu_booth12_012	[0]
menu_booth12_014	[n0]
menu_booth12_030	{c[ffdc0f]}[n0]{c[ffffff]}
menu_booth12_017	
menu_booth12_018	
menu_booth12_019	Worldwide Match
menu_booth12_022	Friend Match
menu_booth12_023	Toad Cup
menu_booth12_024	Toadette Cup
menu_booth12_025	Kamek Cup
menu_booth12_028	[mg0]
menu_booth12_020	Voice Chat\r\nSupported
menu_booth12_021	 Using\r\nVoice Chat
menu_booth00_313_b	Wow! That was amazing!
menu_booth00_314	Congratulations on reaching the end!
menu_booth00_317	You cleared {c[ffdc0f]}[0]{c[ffffff]}!
menu_booth00_318_00	You got the {c[ff3f37]} Gem of Tenacity{c[ffffff]}!
menu_booth00_318_01	You got the {c[e6ff3a]} Gem of Spirit{c[ffffff]}!
menu_booth00_318_02	You got the {c[3ffc3a]} Gem of Courage{c[ffffff]}!
menu_booth00_318_03	You got the {c[2596ff]} Gem of Love{c[ffffff]}!
menu_booth00_318_04	You got the {c[fc64fa]} Gem of Passion{c[ffffff]}!
menu_booth00_319	{c[ffdc0f]}[0]{c[ffffff]} is now available!
menu_booth00_320	Normal
menu_booth00_321	Remix
menu_booth00_322	Hard
menu_booth00_323	?
menu_booth00_324	You cleared all the {c[ffdc0f]}challenges{c[ffffff]}!
menu_booth00_325	You cleared all the {c[ffdc0f]}master challenges{c[ffffff]}!
mgm001.msbt
mgm001_select_001	Random Choice
mgm001_select_003	?
mgm001_select_004	[mg0]
mgm001_select_005	 Details
mgm001_select_012	 Back
mgm001_select_013	 Favorites
mgm001_select_029	 List View
mgm001_select_031	 Number of Allies
mgm001_select_006	[0]
mgm001_select_007	Start!
mgm001_select_033	OK!
mgm001_select_008	VS
mgm001_select_009	Choose your team.
mgm001_select_010	Choose how many allies to take.
mgm001_select_011	+[0] \x0e\x01\x01\x18\x16\0a\0l\0l\0y\0,\0a\0l\0l\0i\0e\0s\0
mgm001_select_014	[mg0]
mgm001_select_015	Record: [0].[1][2] sec.
mgm001_select_016	Record: [0]
mgm001_select_017	Record: [0].[1][2]m
mgm001_select_018	Times played: [0]
mgm001_select_019	Free-for-All Minigames
mgm001_select_021	Rhythm Minigames
mgm001_select_022	Team Minigames
mgm001_select_023	1 vs. 3 Minigames
mgm001_select_024	2 vs. 2 Minigames
mgm001_select_025	Co-op Minigames
mgm001_select_020	-
mgm001_select_027	Not available in Local Play.
mgm001_select_032	Not available in Local Play.
mgm001_select_028	Play only your registered favorite minigames.
mgm001_select_030	Not available in Local Play.
mgm001_select_034	Play more {c[ffdc0f]}Mario Party{c[ffffff]}!
mgm001_select_035	Play more {c[ffdc0f]}River Survival{c[ffffff]}!
mgm001_select_036	Play more {c[ffdc0f]}Sound Stage{c[ffffff]}!
mgm001_select_037	Select a difficulty.
mgm001_select_038	Normal
mgm001_select_039	Hard
mgm001_select_040	Use the strap
mgm001_result_001	Next Minigame
mgm001_result_002	Current Minigame
mgm001_result_003	[mg0]
mgm001_result_004	 Set as Favorite
mgm001_result_005	 Remove from Favorites
mgm003.msbt
mgm003_guide000	Welcome to {c[ffdc0f]}[0]{c[ffffff]}!
mgm003_guide001	Go for the high score in each minigame,\r\nand compete for {c[ffdc0f]}total points{c[ffffff]}!
mgm003_guide002	{c[ffdc0f]}[n0]{c[ffffff]}, which cup will it be?
mgm003_guide010	{c[ffdc0f]}[0] {c[ffffff]}it is!
mgm003_guide011	We'll go ahead and start with {c[ffdc0f]}[mg0]{c[ffffff]}!
mgm003_guide100	That's all the minigames!
mgm003_guide101	Now to announce the {c[ffdc0f]}winners{c[ffffff]}!
mgm003_guide900	{c[ffdc0f]}[n0]{c[ffffff]}, choose {c[ffdc0f]}five {c[ffffff]}minigames.
mgm003_guide901	Here's our five minigames!
mgm003_guide901_a	OK!
mgm003_guide901_b	Hang on.
mgm003_skip00	/ Skip
mgm003_skip01	 Next
mgm003_skip02	 Exit
mgm003_mgname00	Next: [mg0]
mgm003_mgname01	Next: ???
mgm003_rank00	[0]
mgm003_rank01	[0]
mgm003_rank02	[0]
mgm003_status	[0]
mgm003_pts00	+[0]
mgm003_pts02	[0]
mgm003_pts03	[0]
mgm003_pts04	[0]
mgm003_mg_time00	[0].[1][2]
mgm003_mg_time01	[0].[1][2]
mgm003_mg_pts00	[0]
mgm003_mg_pts01	[0]
mgm003_mg_retire00	- - . - -
mgm003_mg_retire01	- - . - -
mgm003_name00	[0]
mgm003_name01	[n0]
mgm003_mode00	[0]
mgm003_mode00_h	 [0]
mgm003_mode00_f	 [0]
mgm003_mode00_k	 [0]
mgm003_mode01	[0]
mgm003_mode_qmark	？
mgm003_result_title	Final Result
mgm003_result_total	Total
mgm003_selectmg_num	[0]
mgm003_selectmg_name	[mg0]
mgm003_selectmg_host	Choosing minigame...
mgm003_selectmg_mess00	Woo-hoo!
mgm003_selectmg_mess01	Aww...
mgm003_selectmg_mess02	Whew!
mgm003_selectmg_mess03	Huh?!
mgm003_selectmg_guide00	 Woo-hoo!
mgm003_selectmg_guide01	 Aww...
mgm003_selectmg_guide02	 Whew!
mgm003_selectmg_guide03	 Huh?!
mgm003_wm_result_name	{c[ffdc0f]}[0]{c[ffffff]}'s record
mgm003_wm_result_cup	[0]
mgm003_wm_result_rank	Skill Grade
mgm003_wm_result_avg_num	[0].[1][2]
mgm003_wm_result_avg_nextnum	[0].[1][2]
mgm003_wm_result_hist	Score Log
mgm003_wm_result_hist_num	[0]
mgm003_wm_result_hist_non	- - - -
mgm003_wm_result_medal00	Gold
mgm003_wm_result_medal01	Silver
mgm003_wm_result_medal02	Bronze
mgm003_wm_result_medal_num	[0]
mgm003_wm_result_best	Best Score
mgm003_skill_rank_l	[0][1]
mgm003_skill_rank_s	[0][1]
mgm003_skill_rank_plus	+
mgm003_skill_rank_minus	-
mgm003_skill_rank00	S
mgm003_skill_rank01	A
mgm003_skill_rank02	B
mgm003_skill_rank03	C
mgm003_skill_rank04	D
mgm003_skill_rank05	E
mgm003_seal	Stickers
mgm004.msbt
mgm004_guide000	Welcome to {c[ffdc0f]}Square Off{c[ffffff]}!
mgm004_guide001	Want me to explain the rules?
mgm004_guide002	Listen to the rules?
mgm004_guide002_a	Yes
mgm004_guide002_b	No
mgm004_guide003	So let's get started!
mgm004_guide010	Let's hear it for {c[ffdc0f]}[n0]{c[ffffff]}!
mgm004_guide010_1	Go ahead and {c[ffdc0f]}claim a panel {c[ffffff]}from the middle!
mgm004_guide020	Now {c[ffdc0f]}[n0] {c[ffffff]}can claim {c[ffdc0f]}a panel next to\r\n{c[ffffff]}one already claimed!
mgm004_guide030	Little by little, players will have more panels to choose from.
mgm004_guide030_1	Well then, {c[ffdc0f]}[n0]{c[ffffff]}, \r\nwhich panel would you like?
mgm004_guide031	You can steal a rival's panel by trapping\r\nit {c[ffdc0f]}between two panels {c[ffffff]}of your own.
mgm004_guide031_1	Think carefully about which panel to select!
mgm004_guide032	Go ahead! Take {c[ffdc0f]}one panel{c[ffffff]}!
mgm004_guide033	Half the panels are claimed!
mgm004_guide033_1	{c[ffdc0f]}[n0]{c[ffffff]}, select a panel!
